#,l,Dl,mdDl,pdDl,BestFit
,4.77E+01,1.48E+03,5.08E+01,5.08E+01,1.46E+03
,7.65E+01,2.03E+03,5.47E+01,5.47E+01,2.06E+03
,1.06E+02,2.96E+03,6.50E+01,6.50E+01,2.90E+03
,1.36E+02,3.87E+03,7.69E+01,7.69E+01,3.90E+03
,1.65E+02,4.89E+03,8.66E+01,8.66E+01,4.86E+03
,1.95E+02,5.46E+03,9.06E+01,9.06E+01,5.53E+03
,2.25E+02,5.79E+03,8.71E+01,8.71E+01,5.73E+03
,2.55E+02,5.37E+03,7.69E+01,7.69E+01,5.37E+03
,2.85E+02,4.63E+03,6.25E+01,6.25E+01,4.59E+03
,3.15E+02,3.60E+03,4.72E+01,4.72E+01,3.60E+03
,3.45E+02,2.63E+03,3.39E+01,3.39E+01,2.67E+03
,3.75E+02,2.03E+03,2.48E+01,2.48E+01,2.02E+03
,4.05E+02,1.75E+03,2.07E+01,2.07E+01,1.75E+03
,4.35E+02,1.79E+03,2.07E+01,2.07E+01,1.82E+03
,4.65E+02,2.16E+03,2.28E+01,2.28E+01,2.10E+03
,4.95E+02,2.42E+03,2.50E+01,2.50E+01,2.40E+03
,5.25E+02,2.57E+03,2.59E+01,2.59E+01,2.57E+03
,5.55E+02,2.55E+03,2.51E+01,2.51E+01,2.55E+03
,5.85E+02,2.36E+03,2.27E+01,2.27E+01,2.36E+03
,6.15E+02,2.10E+03,1.99E+01,1.99E+01,2.10E+03
,6.45E+02,1.88E+03,1.75E+01,1.75E+01,1.89E+03
,6.75E+02,1.81E+03,1.64E+01,1.64E+01,1.81E+03
,7.05E+02,1.88E+03,1.68E+01,1.68E+01,1.90E+03
,7.35E+02,2.10E+03,1.82E+01,1.82E+01,2.10E+03
,7.65E+02,2.32E+03,1.97E+01,1.97E+01,2.34E+03
,7.95E+02,2.46E+03,2.07E+01,2.07E+01,2.50E+03
,8.25E+02,2.52E+03,2.05E+01,2.05E+01,2.52E+03
