ell,lmin,lmax,D_ell,err
47,32,62,1407.61,51.47
78,63,93,2016.71,60.07
109,94,124,3027.82,73.29
140,125,155,3893.83,87.35
171,156,186,4867.41,97.94
202,187,217,5524.53,101.05
233,218,248,5703.16,95.14
264,249,279,4953.54,81.72
295,280,310,4116.06,64.14
326,311,341,3123.86,46.6
357,342,372,2282.71,32.85
388,373,403,1836.2,24.75
419,404,434,1691.91,22.37
450,435,465,1922.19,23.96
481,466,496,2229.41,26.9
512,497,527,2506.61,28.89
543,528,558,2484.24,28.78
574,559,589,2396.51,26.61
605,590,620,2124.69,23.39
636,621,651,1863.84,20.44
667,652,682,1792.35,18.86
698,683,713,1819.88,19.05
729,714,744,1962.25,20.61
760,745,775,2237.31,22.6
791,776,806,2345.97,23.98
822,807,837,2464.71,24
853,838,868,2341.59,22.46
884,869,899,2030.01,19.7
915,900,930,1682.61,16.42
946,931,961,1354.41,13.44
977,962,992,1113.53,11.36
1008,993,1023,1017.97,10.46
1039,1024,1054,1034.38,10.58
1070,1055,1085,1118.05,11.23
1101,1086,1116,1170.97,11.86
1132,1117,1147,1204.04,12.04
1163,1148,1178,1140.7,11.59
1194,1179,1209,1042.69,10.76
1225,1210,1240,907.4,9.74
1256,1241,1271,793.96,8.58
1287,1272,1302,732.75,7.88
1318,1303,1333,689.45,7.7
1349,1334,1364,746.75,7.92
1380,1365,1395,749.62,8.29
1411,1396,1426,806.23,8.54
1442,1427,1457,768.34,8.49
1473,1458,1488,722.68,8.09
1504,1489,1519,658.83,7.44
1535,1520,1550,554.48,6.7
1566,1551,1581,477.66,6.06
1597,1582,1612,420.02,5.65
1628,1613,1643,387.21,5.51
1659,1644,1674,382.85,5.59
1690,1675,1705,373.95,5.79
1721,1706,1736,374.45,6.01
1752,1737,1767,365.19,6.17
1783,1768,1798,342.35,6.24
1814,1799,1829,319.73,6.25
1845,1830,1860,278.34,6.25
1876,1861,1891,250.1,6.31
1907,1892,1922,239.6,6.47
1938,1923,1953,215.63,6.75
1969,1954,1984,226.13,7.13
2000,1985,2015,232.56,7.66
2031,2016,2046,213.07,8.21
2062,2047,2077,218.14,8.7
2093,2078,2108,208.67,9.19
2124,2109,2139,191.16,9.7
2155,2140,2170,179.33,10.25
2186,2171,2201,162.27,10.88
2220,2202,2238,127.88,10.63
2263,2239,2287,103.98,10.12
2323,2288,2358,124.55,9.67
2419,2359,2479,103.1,9.4
